title,body,labels,milestone
P1-001: Open generated UE project and commit engine-generated project metadata intentionally,"Source: `docs/phase1-backlog.md`

Done when:

UE 5.7, Xcode 26.5, project files, `AbyssLockEditor`, and `AbyssLock` builds verified; Launcher UE blocks `AbyssLockServer` target

Validation evidence:

- [ ] Command output or cycle link added
- [ ] Result recorded in a cycle file
- [ ] No raw logs, recordings, or personal identifiers committed","phase-1,week-1,prototype",Phase 1
P1-002: Add replicated character movement baseline,"Source: `docs/phase1-backlog.md`

Done when:

C++ character and basic input mappings added; local 5-8 player listen-server smokes validate spawned player presence and automation movement paths; manual feel tuning pending

Validation evidence:

- [ ] Command output or cycle link added
- [ ] Result recorded in a cycle file
- [ ] No raw logs, recordings, or personal identifiers committed","phase-1,week-1,prototype",Phase 1
"P1-003: Add `GameState` match id, phase, timer","Source: `docs/phase1-backlog.md`

Done when:

C++ scaffold builds; match phase, start, end, timer expiry, and role events are covered by smoke logs; UI timer polish pending

Validation evidence:

- [ ] Command output or cycle link added
- [ ] Result recorded in a cycle file
- [ ] No raw logs, recordings, or personal identifiers committed","phase-1,week-1,prototype",Phase 1
P1-004: Add structured event logger,"Source: `docs/phase1-backlog.md`

Done when:

Per-run JSONL telemetry writes role assignment, match start, and ship task events in local smoke

Validation evidence:

- [ ] Command output or cycle link added
- [ ] Result recorded in a cycle file
- [ ] No raw logs, recordings, or personal identifiers committed","phase-1,week-1,prototype",Phase 1
P1-005: Add whitebox map rooms and spawn markers,"Source: `docs/phase1-backlog.md`

Done when:

`/Game/Maps/L_IcebreakerWhitebox` exists, has 8 starts, required labels, 3 lockable bulkhead doors, and default map config

Validation evidence:

- [ ] Command output or cycle link added
- [ ] Result recorded in a cycle file
- [ ] No raw logs, recordings, or personal identifiers committed","phase-1,week-1,prototype",Phase 1
P1-006: Add interactable base component,"Source: `docs/phase1-backlog.md`

Done when:

C++ scaffold builds; server range validation, traceable interaction bounds, and multiplayer smoke coverage exist through task, door, pickup, and bot interaction profiles

Validation evidence:

- [ ] Command output or cycle link added
- [ ] Result recorded in a cycle file
- [ ] No raw logs, recordings, or personal identifiers committed","phase-1,week-1,prototype",Phase 1
P1-007: Add door interactable,"Source: `docs/phase1-backlog.md`

Done when:

Replicated open/locked state, visible blocking panel state, lock/release telemetry, and local smoke coverage exist

Validation evidence:

- [ ] Command output or cycle link added
- [ ] Result recorded in a cycle file
- [ ] No raw logs, recordings, or personal identifiers committed","phase-1,week-1,prototype",Phase 1
P1-008: Add item pickup/drop skeleton,"Source: `docs/phase1-backlog.md`

Done when:

C++ pickup/drop and owner-only replicated inventory scaffold build; 5-player smoke validates add, server-spawned drop pickup, re-pickup, and consumption

Validation evidence:

- [ ] Command output or cycle link added
- [ ] Result recorded in a cycle file
- [ ] No raw logs, recordings, or personal identifiers committed","phase-1,week-1,prototype",Phase 1
P1-009: Add local 8-client launch procedure,"Source: `docs/phase1-backlog.md`

Done when:

`Tools/ue/run_local_smoke.py` launches one listen host plus up to 7 localhost clients; ready-lobby and combined systems smoke pass at 8 players with 2 saboteurs

Validation evidence:

- [ ] Command output or cycle link added
- [ ] Result recorded in a cycle file
- [ ] No raw logs, recordings, or personal identifiers committed","phase-1,week-1,prototype",Phase 1
P1-010: Add lobby flow,"Source: `docs/phase1-backlog.md`

Done when:

Replicated ready state, server ready RPC, and ready-lobby start condition build and pass 5-player, 6-player, and 8-player local smoke

Validation evidence:

- [ ] Command output or cycle link added
- [ ] Result recorded in a cycle file
- [ ] No raw logs, recordings, or personal identifiers committed","phase-1,week-2,prototype",Phase 1
P1-011: Add hidden role assignment,"Source: `docs/phase1-backlog.md`

Done when:

C++ owner-only `SecretTeam` and server role assignment scaffold starts from ready-lobby path; smoke validates 1 saboteur at 5-6 players and 2 saboteurs at 8 players; UI reveal/start polish pending

Validation evidence:

- [ ] Command output or cycle link added
- [ ] Result recorded in a cycle file
- [ ] No raw logs, recordings, or personal identifiers committed","phase-1,week-2,prototype",Phase 1
P1-012: Add repair task,"Source: `docs/phase1-backlog.md`

Done when:

`AAbyssShipTaskActor` repair path builds, is placed in the whitebox map, and logs `ship_task_applied` in a local host+client smoke

Validation evidence:

- [ ] Command output or cycle link added
- [ ] Result recorded in a cycle file
- [ ] No raw logs, recordings, or personal identifiers committed","phase-1,week-2,prototype",Phase 1
P1-013: Add ship system state,"Source: `docs/phase1-backlog.md`

Done when:

C++ replicated `ShipSystems` and route objective progress build and drive task smoke

Validation evidence:

- [ ] Command output or cycle link added
- [ ] Result recorded in a cycle file
- [ ] No raw logs, recordings, or personal identifiers committed","phase-1,week-2,prototype",Phase 1
P1-014: Add crew win condition,"Source: `docs/phase1-backlog.md`

Done when:

5-player local smoke progresses route to FinalApproach and ends with crew win

Validation evidence:

- [ ] Command output or cycle link added
- [ ] Result recorded in a cycle file
- [ ] No raw logs, recordings, or personal identifiers committed","phase-1,week-2,prototype",Phase 1
P1-015: Add saboteur win condition,"Source: `docs/phase1-backlog.md`

Done when:

5-player local smoke drives a critical ship system to zero through sabotage and ends with saboteur win; `match-timer` smoke validates timer expiry as a saboteur win

Validation evidence:

- [ ] Command output or cycle link added
- [ ] Result recorded in a cycle file
- [ ] No raw logs, recordings, or personal identifiers committed","phase-1,week-2,prototype",Phase 1
P1-016: Add whitebox PvE enemy,"Source: `docs/phase1-backlog.md`

Done when:

5-player local smoke spawns a replicated server-authoritative PvE enemy, applies damage, downs a target, and rescues the target to leave the match stable

Validation evidence:

- [ ] Command output or cycle link added
- [ ] Result recorded in a cycle file
- [ ] No raw logs, recordings, or personal identifiers committed","phase-1,week-2,prototype",Phase 1
P1-017: Add power outage sabotage,"Source: `docs/phase1-backlog.md`

Done when:

`AAbyssShipTaskActor` sabotage path builds, is placed in the whitebox map, and logs `ship_task_applied` in a local host+client smoke

Validation evidence:

- [ ] Command output or cycle link added
- [ ] Result recorded in a cycle file
- [ ] No raw logs, recordings, or personal identifiers committed","phase-1,week-3,prototype",Phase 1
P1-018: Add bulkhead lock sabotage,"Source: `docs/phase1-backlog.md`

Done when:

5-player local smoke opens a bulkhead, applies saboteur lock, blocks normal interaction while locked, releases by repair action, and reopens

Validation evidence:

- [ ] Command output or cycle link added
- [ ] Result recorded in a cycle file
- [ ] No raw logs, recordings, or personal identifiers committed","phase-1,week-3,prototype",Phase 1
